path,category,size,last_commit_date,referenced_by,verdict,notes
scripts/roadmap_socrata_datasets.csv,data-roadmap,72K,2026-04-20,,kill,Q6 superseded
scripts/extract_roadmap_links.py,script-roadmap,7.6K,2026-04-20,,kill,Q6 output no longer needed
data/paco_sanctions/,data-demo,19M,2026-03-16,,kill,Demo payload
data/official_case_bulletins/,data-demo,12K,2026-03-28,,kill,Unused demo payload
output/playwright/,empty,0B,,,kill,Empty dir
output/,empty,0B,,,kill,Empty after playwright removed
logs/,empty,0B,,,kill,Empty
.conductor/,empty,0B,,,kill,Empty
lake/raw/source=secop_integrado/,lake-bad,2.0G,untracked,,kill,Broken normalizer output
lake/meta/reality_report.csv,lake-bad,part,untracked,,kill,Stale
lake/meta/watermark_events.parquet,lake-bad,part,untracked,,kill,Broken-pipeline state
lake/meta/watermarks.parquet,lake-bad,part,untracked,,kill,Broken-pipeline state
lake/curated/,lake-bad,0B,untracked,,kill,Empty
govt data roadmap/,roadmap-pdfs,34M,untracked,,keep-gitignore,Q3 keep on disk but add to .gitignore
docs/pipeline_status.md,doc-autogen,9.3K,2026-04-17,generate_pipeline_status.py,kill,Auto-gen producer killed
docs/data-sources.md,doc-autogen,14K,2026-04-17,generate_data_sources_summary.py,kill,Auto-gen producer killed
docs/reference_metrics.md,doc-autogen,451B,2026-03-12,generate_reference_metrics.py,kill,Producer killed
docs/source_registry_co_v1.csv,doc-registry,21K,2026-04-17,api/src/coacc/services/source_registry.py,migrate-then-kill,Q2 migrate into docs/datasets/catalog.csv Phase 2 then kill
docs/ai-pr-governor.md,doc-governance,2.6K,2026-03-12,claude-pr-governor.yml,kill,Q5 gated layer deleted
docs/public_scope.md,doc-governance,1.3K,2026-03-12,check_public_claims.py,decide,Short doc; keep if still useful
.github/workflows/bootstrap-all-audit.yml,workflow,,,run_bootstrap_all.py,kill,Q5 delete workflow
.github/workflows/source-url-audit.yml,workflow,,,check_source_urls.py,kill,Q5 delete workflow
.github/workflows/claude-pr-governor.yml,workflow,,,claude_merge_gate.py,kill,Q5 delete workflow
Makefile,build,28K,recent,many,keep-rewrite,Rewrite Phase 3 around config-driven ingester
etl/src/coacc_etl/pipelines/secop_integrado.py,etl-pipeline,,recent,Makefile,keep-rewrite,Rewrite Phase 3
etl/src/coacc_etl/streaming.py,etl-pipeline,,recent,ingester,keep-rewrite,Rewrite Phase 3
skills-lock.json,root-misc,4K,2026-03-15,unclear,decide,Origin unknown
.playwright-cli/,cache,6.4M,untracked,,decide,Likely dev cache; verify frontend workflow first
