path,verdict,useless,reason,action,bytes,lines,parse_status,sha256_12
api/scripts/build_watchlist_snapshots.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,4706,142,valid-python,9887143cb2d2
api/scripts/materialize_signals.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,7921,212,valid-python,562e1db9188f
api/scripts/validate_signal_registry.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,3893,119,valid-python,d7ad13a56f4c
api/src/coacc/__init__.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,0,0,valid-python,e3b0c44298fc
api/src/coacc/config.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,2312,63,valid-python,08b473ecf9bb
api/src/coacc/constants.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,276,16,valid-python,deca1f61cac0
api/src/coacc/data/watchlists/buyers.json,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,701837,15642,valid-json,1e767588b676
api/src/coacc/data/watchlists/companies.json,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,2758211,68538,valid-json,87c52af5526a
api/src/coacc/data/watchlists/people.json,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,531887,12757,valid-json,024a24f877df
api/src/coacc/data/watchlists/territories.json,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,347225,7727,valid-json,040a9125a22e
api/src/coacc/dependencies.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,3818,119,valid-python,3915a5d6c8aa
api/src/coacc/i18n/__init__.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,0,0,valid-python,e3b0c44298fc
api/src/coacc/main.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,3959,123,valid-python,c94aa3784742
api/src/coacc/middleware/__init__.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,0,0,valid-python,e3b0c44298fc
api/src/coacc/middleware/rate_limit.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,950,28,valid-python,d8f742907a2e
api/src/coacc/middleware/security_headers.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,2149,61,valid-python,173042a98ddc
api/src/coacc/models/__init__.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,0,0,valid-python,e3b0c44298fc
api/src/coacc/models/baseline.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,562,25,valid-python,4620ef7836c0
api/src/coacc/models/case.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,1406,52,valid-python,3d50cecb2fdb
api/src/coacc/models/dashboard.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,5636,191,valid-python,5a9bab8e11c9
api/src/coacc/models/entity.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,2493,110,valid-python,a1cdaf42876b
api/src/coacc/models/graph.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,706,31,valid-python,5c4891447d56
api/src/coacc/models/investigation.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,1165,53,valid-python,d57a56f4ca71
api/src/coacc/models/pattern.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,15663,388,valid-python,dbb6b5e1e279
api/src/coacc/models/search.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,449,21,valid-python,14ac3ee704bb
api/src/coacc/models/signal.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,6464,186,valid-python,f4116986930f
api/src/coacc/models/user.py,KEEP,NO,"Active API source, test, config, lockfile, data, or template.",Keep; normal maintenance only.,468,23,valid-python,dc2fba35d01e
api/src/coacc/queries/acto_o_gaceta_contractual.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2953,51,text-read,e18a8bff1c84
api/src/coacc/queries/adverse_media_supplier_review_only.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1834,36,text-read,5560e985c715
api/src/coacc/queries/annotation_create.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,372,13,text-read,7b704d05fe15
api/src/coacc/queries/annotation_delete.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,182,4,text-read,7fcfee0f6679
api/src/coacc/queries/annotation_list.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,297,7,text-read,66126796485e
api/src/coacc/queries/baseline_region.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2023,46,text-read,53d0630090e9
api/src/coacc/queries/baseline_sector.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2022,44,text-read,48dc9c31ffb2
api/src/coacc/queries/beneficial_ownership_overlap_review_only.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1872,36,text-read,1e54c195f3d2
api/src/coacc/queries/case_events.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,629,14,text-read,364195c17400
api/src/coacc/queries/case_refresh_attach.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,756,20,text-read,f1c67398ae7a
api/src/coacc/queries/case_refresh_reset.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,367,12,text-read,f13bcf4827b0
api/src/coacc/queries/case_signal_hits.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1973,49,text-read,32dd83fb8868
api/src/coacc/queries/case_summary_meta.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,397,7,text-read,95f6a0bee70f
api/src/coacc/queries/control_politico_contractual.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,3062,51,text-read,b6b4501df5df
api/src/coacc/queries/cuentas_claras_donor_supplier_overlap.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,988,18,text-read,34e9e87b3611
api/src/coacc/queries/entity_by_element_id.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,538,8,text-read,5261dc072aa3
api/src/coacc/queries/entity_by_id.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1301,23,text-read,cf4a3f3c6d01
api/src/coacc/queries/entity_connections.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1638,22,text-read,686d04720df2
api/src/coacc/queries/entity_evidence_trail.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,10405,261,text-read,0758b9c8eb51
api/src/coacc/queries/entity_lookup.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,571,21,text-read,516d0e4d58f8
api/src/coacc/queries/entity_score.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,3796,73,text-read,f5b9ba4e2fc3
api/src/coacc/queries/entity_timeline.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1571,38,text-read,9773cefa632c
api/src/coacc/queries/environmental_file_contract_overlap.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2374,44,text-read,d8ea2535fc27
api/src/coacc/queries/graph_expand.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2162,39,text-read,aaa148394a3e
api/src/coacc/queries/health_check.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,15,1,text-read,eae17b9cfcd4
api/src/coacc/queries/investigation_add_entity.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2063,28,text-read,47ec256f09b1
api/src/coacc/queries/investigation_by_token.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,755,11,text-read,50540ef170a3
api/src/coacc/queries/investigation_create.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,595,24,text-read,941f1946875b
api/src/coacc/queries/investigation_delete.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,201,5,text-read,ac184906aafa
api/src/coacc/queries/investigation_get.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,776,11,text-read,8a129caa9648
api/src/coacc/queries/investigation_list.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,918,17,text-read,f9b91233f02b
api/src/coacc/queries/investigation_remove_entity.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1527,28,text-read,18f80c319d44
api/src/coacc/queries/investigation_share.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,186,5,text-read,0cebe8c18613
api/src/coacc/queries/investigation_share_revoke.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,174,5,text-read,53040b868586
api/src/coacc/queries/investigation_update.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,913,15,text-read,1b72cb4778f2
api/src/coacc/queries/judicial_case_contract_overlap.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2480,47,text-read,3e9d23dd9b72
api/src/coacc/queries/meta_prioritized_buyers.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,12552,341,text-read,e75ace2451b0
api/src/coacc/queries/meta_prioritized_companies.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,29313,682,text-read,d1954552f99c
api/src/coacc/queries/meta_prioritized_people.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,26269,697,text-read,624afe3d2559
api/src/coacc/queries/meta_prioritized_territories.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,11568,315,text-read,e9cf321affdd
api/src/coacc/queries/meta_source_load_status.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,186,5,text-read,34e7f9b4c865
api/src/coacc/queries/meta_stats.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1314,50,text-read,9588790e4af8
api/src/coacc/queries/meta_validation_company_case.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,10614,275,text-read,d23169a110f0
api/src/coacc/queries/meta_validation_person_case.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,8094,189,text-read,f9a84146d276
api/src/coacc/queries/node_degree.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,696,13,text-read,a58b67626647
api/src/coacc/queries/official_case_bulletin_overlap.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2616,49,text-read,4e17cde8b870
api/src/coacc/queries/procurement_buyer_supplier_network_density.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,805,16,text-read,e93f77087dc9
api/src/coacc/queries/procurement_cartel_risk_cobidding.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,810,16,text-read,8dbe1be99034
api/src/coacc/queries/procurement_contract_execution_delay.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,855,16,text-read,4ff04a0794fd
api/src/coacc/queries/procurement_contract_suspensions.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,889,17,text-read,a37391ff94ce
api/src/coacc/queries/procurement_contract_value_outlier_by_category.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,803,21,text-read,588f1b0ff988
api/src/coacc/queries/procurement_cross_source_identity_inconsistency.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,565,14,text-read,709a3d12f138
api/src/coacc/queries/procurement_large_modifications.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1117,20,text-read,11e436acaeb0
api/src/coacc/queries/procurement_offers_competition_drop.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1093,22,text-read,66c62d132e0c
api/src/coacc/queries/procurement_payment_plan_anomalies.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1012,20,text-read,12636b9e20d9
api/src/coacc/queries/procurement_politically_exposed_position_supplier_overlap.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2286,44,text-read,6357dfe1c1aa
api/src/coacc/queries/procurement_public_servant_conflict_disclosure_overlap.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1528,37,text-read,bdf24c614f9f
api/src/coacc/queries/procurement_related_companies_shared_officer.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1048,21,text-read,76ffa00a55aa
api/src/coacc/queries/procurement_repeat_awards_same_supplier.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,912,17,text-read,7fc5acd53ade
api/src/coacc/queries/procurement_sanctioned_supplier_awarded.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1150,22,text-read,4ab9d694b806
api/src/coacc/queries/procurement_short_bidding_window.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,949,22,text-read,8b131c656c03
api/src/coacc/queries/procurement_single_bidder_high_value.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,912,19,text-read,09e9d264adb6
api/src/coacc/queries/procurement_supplier_concentration_across_entities.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,782,16,text-read,a7ad5fabc7fa
api/src/coacc/queries/project_bpin_procurement_overlap.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,906,17,text-read,d9b7c25d5bfa
api/src/coacc/queries/project_regalias_execution_procurement_overlap.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1296,22,text-read,084b363b39b7
api/src/coacc/queries/property_transactions_supplier_overlap.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,749,15,text-read,781c885e7c88
api/src/coacc/queries/public_company_lookup.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,295,8,text-read,014f2b2d4f91
api/src/coacc/queries/public_graph_company.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1471,29,text-read,867f622d3838
api/src/coacc/queries/public_pattern_acto_o_gaceta_contractual.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,3937,98,text-read,088cfdc44c6d
api/src/coacc/queries/public_pattern_amendment_beneficiary_contracts.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2289,58,text-read,4315ac4a4f34
api/src/coacc/queries/public_pattern_beneficiario_bpin_o_regalias_contrata.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,3638,87,text-read,db6c2f70f148
api/src/coacc/queries/public_pattern_company_capacity_mismatch.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2515,68,text-read,74face5eceae
api/src/coacc/queries/public_pattern_company_donor_vendor_overlap.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,1702,39,text-read,6859a8f09afc
api/src/coacc/queries/public_pattern_contract_concentration.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2325,54,text-read,71fc33cd03a3
api/src/coacc/queries/public_pattern_contract_suspension_stacking.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2005,41,text-read,43f16568b4c0
api/src/coacc/queries/public_pattern_control_politico_contractual.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,4075,98,text-read,6f0c7cfb12df
api/src/coacc/queries/public_pattern_debtor_contracts.cypher,KEEP_BLOCKED,NO_BUT_BLOCKED,"Cypher query is part of API surface, but useful only after Neo4j is populated from lake/curated.",Keep; validate after graph-loader Phase 11.,2574,69,text-read,0de038c24abe
